video_id,title,category_id,video_duration,tags_count,views,thumbnail_link,description_length,time_duration,published_at,keyword,thumbnail_path,object_complexity,element_complexity,brightness,colorfulness
0k7X2ZGmaOo,突然股間を見せつけてくるガボンがヤバすぎたｗｗｗ #switch2 #ガボン #マリオカート,22,63.0,0,9700414,https://i.ytimg.com/vi/0k7X2ZGmaOo/hqdefault.jpg,0,15,2025-06-28T21:00:01Z,ゲーム,thumbnails/0k7X2ZGmaOo.jpg,1.0,1.0,71.9216724537037,40.1352624298086
8CQnAI9mlwg,#クレーンゲーム #ufoキャッチャー #shorts #short #shortvideo #shortsfeed  #ROUND1 #ﾍﾞﾈｸｽ #クレゲ #フィギュア #ぬいぐるみ #ゲーム,22,80.0,0,9636807,https://i.ytimg.com/vi/8CQnAI9mlwg/hqdefault.jpg,0,19,2025-06-24T11:00:14Z,ゲーム,thumbnails/8CQnAI9mlwg.jpg,1.0,1.0,51.399068287037,59.7146936674516
h7VUxCYh1vc,"$1 vs $10,000 Squid Game!",24,1351.0,37,4815528,https://i.ytimg.com/vi/h7VUxCYh1vc/hqdefault.jpg,514,8,2025-07-05T12:01:23Z,ゲーム,thumbnails/h7VUxCYh1vc.jpg,3.0,1.0,105.333796296296,87.8421016409811
J5TSwO-YLL4,Squid Game Season 3 | Ending Scene Recap | Final Battle | Gi-Hun vs Myung-Gi Fight,1,236.0,20,4769086,https://i.ytimg.com/vi/J5TSwO-YLL4/hqdefault.jpg,307,16,2025-06-28T00:02:01Z,ゲーム,thumbnails/J5TSwO-YLL4.jpg,2.0,2.0,55.8073032407407,50.2608505359184
aPeqEO_68ow,Italianbrainrot: Finding tung tung tung sahur friends 🧠👀 #italianbrainrot #game #friends,20,10.0,74,11245494,https://i.ytimg.com/vi/aPeqEO_68ow/hqdefault.jpg,88,9,2025-07-04T14:30:01Z,ゲーム,thumbnails/aPeqEO_68ow.jpg,0.0,0.0,96.5222453703704,55.55785395918831
61AwonOL9-4,チートすぎ草www   #ゲーム #爆笑 #勝負 #shorts #友達,22,14.0,0,8751067,https://i.ytimg.com/vi/61AwonOL9-4/hqdefault.jpg,0,5,2025-07-08T06:00:10Z,ゲーム,thumbnails/61AwonOL9-4.jpg,2.0,1.0,76.3628761574074,13.8051888667096
VTm3RmtT86U,マリカー新作の「ウシ」のケツが汚すぎて話題になっている#ゲーム雑学 #任天堂 #マリカー,20,49.0,0,5528811,https://i.ytimg.com/vi/VTm3RmtT86U/hqdefault.jpg,0,28,2025-06-15T09:30:15Z,ゲーム,thumbnails/VTm3RmtT86U.jpg,1.0,1.0,124.146846064815,24.1184154035037
Pl5LnxOfEfE,"Jump-Rope Song - Cheol-su - Boy Doll 🙂 ""Squid Game 3 (오징어 게임)""",10,36.0,0,3271927,https://i.ytimg.com/vi/Pl5LnxOfEfE/hqdefault.jpg,724,8,2025-07-06T03:45:10Z,ゲーム,thumbnails/Pl5LnxOfEfE.jpg,2.0,2.0,85.4759143518519,77.7594035666124
Qu00ZXp1R5M,誰もが待ち望んだ完全新作ゲーム『 たまごっちのプチプチおみせっち おまちど～さま！ 』,20,7464.0,12,3185660,https://i.ytimg.com/vi/Qu00ZXp1R5M/hqdefault.jpg,670,28,2025-06-15T08:30:26Z,ゲーム,thumbnails/Qu00ZXp1R5M.jpg,2.0,2.0,135.664913194444,96.843636860273
nJzDdulzOPw,Squid Game Cast Jump Rope Challenge | Squid Game: Season 3 | Netflix,24,230.0,29,2699538,https://i.ytimg.com/vi/nJzDdulzOPw/hqdefault.jpg,942,9,2025-07-05T01:00:00Z,ゲーム,thumbnails/nJzDdulzOPw.jpg,8.0,2.0,64.0388946759259,47.3955216505619
MBtEhlF86Gw,Squid Game 3 Rope Challenge - 360° VR Experience | Interactive Survival Game!,20,106.0,22,2472619,https://i.ytimg.com/vi/MBtEhlF86Gw/hqdefault.jpg,2250,13,2025-06-30T10:21:17Z,ゲーム,thumbnails/MBtEhlF86Gw.jpg,3.0,2.0,79.062806712963,76.697324624962
DRUwBrxJEGs,Squid Game 3: Player 456 vs Baby 222 - Alternative end ruined by AI,24,52.0,15,2316461,https://i.ytimg.com/vi/DRUwBrxJEGs/hqdefault.jpg,649,12,2025-07-01T21:13:52Z,ゲーム,thumbnails/DRUwBrxJEGs.jpg,3.0,2.0,40.9452546296296,23.5778245744446
h5utWzjlja8,"面白そうなパズルゲーム見つけました、その３【Blockappend】※レベル4,5は簡単すぎたのでべっつりカット",20,73.0,11,3769389,https://i.ytimg.com/vi/h5utWzjlja8/hqdefault.jpg,25,6,2025-07-07T08:00:55Z,ゲーム,thumbnails/h5utWzjlja8.jpg,0.0,0.0,10.2469212962963,37.2114282402345
kZA_rp4I9Z0,面白そうなパズルゲーム見つけました、その２【Blockappend】,20,69.0,11,3629264,https://i.ytimg.com/vi/kZA_rp4I9Z0/hqdefault.jpg,25,7,2025-07-06T08:15:03Z,ゲーム,thumbnails/kZA_rp4I9Z0.jpg,0.0,0.0,7.93901041666667,38.2506887856659
-bqKKgGk2ho,イカゲーム　ギフン死亡シーン　　　　悲しすぎる😢,22,60.0,0,3744527,https://i.ytimg.com/vi/-bqKKgGk2ho/hqdefault.jpg,0,7,2025-07-06T12:08:13Z,ゲーム,thumbnails/-bqKKgGk2ho.jpg,2.0,1.0,18.3501446759259,13.1324375302883
cIsvPOjDN5c,12年前に大流行した超名作ゲーム『 トモダチコレクション 』～END～,20,4272.0,11,2001788,https://i.ytimg.com/vi/cIsvPOjDN5c/hqdefault.jpg,589,12,2025-07-01T08:30:47Z,ゲーム,thumbnails/cIsvPOjDN5c.jpg,2.0,2.0,114.974751157407,115.900474445433
OjFsHtOJq0E,【マイクラ】犯人の足跡から隠れ場所を推理する探偵ゲーム,20,45.0,0,3626790,https://i.ytimg.com/vi/OjFsHtOJq0E/hqdefault.jpg,609,5,2025-07-08T07:30:15Z,ゲーム,thumbnails/OjFsHtOJq0E.jpg,0.0,0.0,116.021701388889,39.5247051688124
